,date,country,confirmed
708,2020-01-24,中国,1
709,2020-01-24,中国,2
710,2020-01-24,中国,3
711,2020-01-24,中国,2
712,2020-01-24,中国,1
713,2020-01-24,中国,3
714,2020-01-24,中国,2
715,2020-01-24,中国,3
716,2020-01-24,中国,1
717,2020-01-24,中国,28
718,2020-01-24,中国,16
719,2020-01-24,中国,1
720,2020-01-24,中国,1
721,2020-01-24,中国,1
722,2020-01-24,中国,2
723,2020-01-24,中国,2
724,2020-01-24,中国,1
725,2020-01-24,中国,2
726,2020-01-24,中国,1
727,2020-01-24,中国,1
728,2020-01-24,中国,4
729,2020-01-24,中国,1
730,2020-01-24,中国,2
731,2020-01-24,中国,1
732,2020-01-24,中国,5
733,2020-01-24,中国,3
734,2020-01-24,中国,1
735,2020-01-24,中国,1
736,2020-01-24,中国,15
737,2020-01-24,中国,4
738,2020-01-24,中国,0
739,2020-01-24,中国,0
740,2020-01-24,中国,3
741,2020-01-24,中国,1
742,2020-01-24,中国,1
743,2020-01-24,中国,1
744,2020-01-24,中国,3
745,2020-01-24,中国,3
746,2020-01-24,中国,3
747,2020-01-24,中国,5
748,2020-01-24,中国,2
749,2020-01-24,法国,2
750,2020-01-24,日本,2
751,2020-01-24,韩国,2
752,2020-01-24,尼泊尔,1
753,2020-01-24,新加坡,3
754,2020-01-24,泰国,4
755,2020-01-24,美国,2
756,2020-01-24,越南,2
757,2020-01-25,澳大利亚,1
758,2020-01-25,中国,1975
759,2020-01-25,中国,41
760,2020-01-25,中国,11
761,2020-01-25,中国,4
762,2020-01-25,中国,6
763,2020-01-25,中国,2
764,2020-01-25,中国,1
765,2020-01-25,中国,8
766,2020-01-25,中国,3
767,2020-01-25,中国,1
768,2020-01-25,中国,3
769,2020-01-25,中国,2
770,2020-01-25,中国,10
771,2020-01-25,中国,1
772,2020-01-25,中国,1
773,2020-01-25,中国,3
774,2020-01-25,中国,1
775,2020-01-25,中国,2
776,2020-01-25,中国,1
777,2020-01-25,中国,1
778,2020-01-25,中国,13
779,2020-01-25,中国,5
780,2020-01-25,中国,2
781,2020-01-25,中国,3
782,2020-01-25,中国,1
783,2020-01-25,中国,2
784,2020-01-25,中国,9
785,2020-01-25,中国,2
786,2020-01-25,中国,1
787,2020-01-25,中国,1
788,2020-01-25,中国,1
789,2020-01-25,中国,2
790,2020-01-25,中国,2
791,2020-01-25,中国,7
792,2020-01-25,中国,1
793,2020-01-25,中国,2
794,2020-01-25,中国,2
795,2020-01-25,中国,2
796,2020-01-25,中国,16
797,2020-01-25,中国,5
798,2020-01-25,中国,4
799,2020-01-25,中国,1
800,2020-01-25,中国,2
801,2020-01-25,中国,2
802,2020-01-25,中国,2
803,2020-01-25,中国,4
804,2020-01-25,中国,1
805,2020-01-25,中国,2
806,2020-01-25,中国,1
807,2020-01-25,中国,15
808,2020-01-25,中国,8
809,2020-01-25,中国,1
810,2020-01-25,中国,3
811,2020-01-25,中国,1
812,2020-01-25,中国,2
813,2020-01-25,中国,40
814,2020-01-25,中国,31
